Algorithm,ARI (Group),ARI (DAS28),Clusters,Num_Clusters
KMeans,-2.6630858702571567e-05,0.006908921322963008,"[2 1 2 2 2 2 2 0 0 0 2 1 2 2 0 2 0 0 0 2 0 2 1 2 2 2 2 0 1 1 1 1 1 1 1 1 1
 1 1 1 1 2 1 2 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 2 2 1 1 1 0 1 1 1 1 1 1 1
 1 1 0 2 2 0 0 2 1 1 1 2 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1
 1 1 1 1 1 2 1 0 1 1 1 1 1 0 2 2 2 1 1 1 0 2 2 2 2 2 2 2 1 1 0 1 1 0 1 1 1
 1 2 1 1 1 1 1 1 1 1 1 1 2 0 0 2 0 0 2 1 0 2 0 2 0 0 0 0 2 2 2 2 1 2 1 1 1
 1 1 1 1 1 2 0 2 2 0 2 2 1 2 2 2 1 2 1 1 1 1 1 1 1 1 0 1 2 2 1 1 0 1 1 2 0
 0 2 1 2 1 1 1 1 2 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 2 2 1 1 1
 1 1 1 2 2 2 1 1 1 2 2 1 2 0 0 2 2 0 2 1 1 1 2 1 1 1 1 1 1 2 0 2 0 1 2 0 2
 2 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 2 2 2 0 1 2 2 1 1 1 0 2
 1 2]",3
Hierarchical,4.2472645249207095e-05,0.0018809499659989495,"[0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 2 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 0 0 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 2 1 1 1 1 1 1 1
 1 1 2 0 0 2 2 0 0 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0
 1 1 1 1 1 0 1 0 1 1 1 1 1 2 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 2 1 1 2 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 0 2 2 0 2 2 0 0 2 0 2 0 2 2 2 2 0 0 0 0 1 0 1 1 1
 1 1 1 1 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 2 1 0 0 1 1 2 1 1 0 0
 2 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1
 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 2 0 1 1 1 0 1 1 1 1 1 1 0 0 0 2 1 0 0 0
 0 2 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 0 0 0 0 1 0 0 1 1 1 0 0
 1 0]",3
GMM,-2.6630858702571567e-05,0.006908921322963008,"[2 1 2 2 2 2 2 0 0 0 2 1 2 2 0 2 0 0 0 2 0 2 1 2 2 2 2 0 1 1 1 1 1 1 1 1 1
 1 1 1 1 2 1 2 2 0 2 2 2 0 2 2 2 1 2 2 2 2 2 2 2 2 2 1 1 1 0 1 1 1 1 1 1 1
 1 1 0 2 2 0 0 2 1 1 1 2 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 2 1 1
 1 1 1 1 1 2 1 0 1 1 1 1 1 0 2 2 2 1 1 1 0 2 2 2 2 2 2 2 1 1 0 1 1 0 1 1 1
 1 2 1 1 1 1 1 1 1 1 1 1 2 0 0 2 0 0 2 1 0 2 0 2 0 0 0 0 2 2 2 2 1 2 1 1 1
 1 1 1 1 1 2 0 2 2 0 2 2 1 2 2 2 1 2 1 1 1 1 1 1 1 1 0 1 2 2 1 1 0 1 1 2 0
 0 2 1 2 1 1 1 1 2 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 2 2 1 1 1
 1 1 1 2 2 2 1 1 1 2 2 1 2 0 0 2 2 0 2 1 1 1 2 1 1 1 1 1 1 2 0 2 0 1 2 0 2
 2 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 2 2 2 0 1 2 2 1 1 1 0 2
 1 2]",3
Spectral,0.0038361592534135644,0.006595234724727217,"[0 1 0 0 0 0 0 2 2 2 0 1 0 0 0 0 2 0 2 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 0 0 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 2 1 1 1 1 1 1 1
 1 1 2 0 0 2 2 0 1 0 1 0 1 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1
 1 1 1 1 1 0 1 2 1 1 1 1 1 2 0 0 0 1 1 1 2 0 0 0 0 0 0 0 1 1 2 1 1 1 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 0 2 2 0 2 2 0 1 2 0 2 0 2 2 2 2 0 0 0 0 1 0 1 1 1
 1 1 1 1 1 0 2 0 0 2 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1 2 0 0 0 1 1 2 1 1 0 0
 2 0 1 0 1 1 1 1 0 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 0 0 0 1 1 1
 1 1 1 0 0 0 1 1 1 0 0 1 0 0 2 0 0 2 0 0 1 1 0 1 1 1 1 1 1 0 0 0 2 1 0 0 0
 0 2 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 2 1 1 1 0 0 0 0 1 0 0 1 1 1 2 0
 1 0]",3
BIRCH,4.2472645249207095e-05,0.0018809499659989495,"[0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 2 0 0 0 1 0 0 0 0 0 1 1 1 1 1 1 1 1 1
 1 1 1 1 0 1 0 0 2 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 1 2 1 1 1 1 1 1 1
 1 1 2 0 0 2 2 0 0 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 0
 1 1 1 1 1 0 1 0 1 1 1 1 1 2 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 1 2 1 1 2 1 1 1
 1 0 1 1 1 1 1 1 1 1 1 1 0 2 2 0 2 2 0 0 2 0 2 0 2 2 2 2 0 0 0 0 1 0 1 1 1
 1 1 1 1 0 0 2 0 0 2 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 2 1 0 0 1 1 2 1 1 0 0
 2 0 1 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 1 1
 1 1 1 0 0 0 1 1 1 0 0 0 0 0 0 0 0 2 0 1 1 1 0 1 1 1 1 1 1 0 0 0 2 1 0 0 0
 0 2 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 1 1 1 0 0 0 0 1 0 0 1 1 1 0 0
 1 0]",3
DBSCAN,0.0,0.0,"[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",1
MeanShift,-0.006285808576821033,-0.021969098190218743,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 2 2 0 0 2 0 2 0 2 2 2 2 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
 0 0]",3
OPTICS,0.007540600243715555,-0.01793333030471627,"[-1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1
 -1 -1 -1 -1 -1 -1 -1 -1  0  0 -1  0  0  0  0  0  0 -1  0 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1  0  0  0 -1 -1
  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1
  0 -1  0  0  0  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1 -1  0
 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1 -1
 -1  0  0  0  0 -1  0  0  0 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1  0  0 -1  0 -1  0  0 -1 -1 -1
 -1 -1 -1 -1 -1  0 -1 -1 -1 -1 -1  0  0  0 -1 -1 -1  0 -1 -1  0 -1 -1  0
  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  0 -1 -1  0 -1 -1 -1  0  0  0 -1 -1 -1  0
 -1 -1 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  0 -1 -1
 -1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  0  0 -1 -1  0  0  0  0  0
 -1 -1 -1 -1  0 -1 -1 -1 -1 -1 -1 -1  0 -1  0  0  0  0  0  0  0  0  0  0
  0  0 -1 -1  0 -1  0  0  0  0 -1 -1 -1 -1 -1 -1  0  0  0 -1 -1 -1 -1]",2
AffinityPropagation,0.00982936751270679,0.005799702566445559,"[12 15 12 12 12 12 12 14  0  1 12 46  2 45  3 26  4  5  6 26  7  8 15 26
 17 17 12  9 46 46 14 14 46 15 46 46 15 15 15 15 15 17 46 12 12 10 26 12
 12 11 17 12 12 14 45 45 12 26 12 12 12 12 12 15 14 14 13 46 15 46 14 14
 14 15 15 46 16 12 17 18 19 12 46 26 46 17 46 46 20 15 14 14 14 14 14 14
 15 46 15 15 15 15 15 14 14 12 14 14 17 26 26 14 14 14 15 14 17 14 21 15
 14 14 15 14 22 23 24 17 46 46 46 25 17 26 26 12 17 12 26 14 15 27 14 14
 28 15 46 15 15 26 14 15 15 14 14 14 14 15 14 14 17 29 30 26 31 32 26 26
 33 26 34 17 35 36 37 38 26 12 17 26 15 12 15 15 46 14 14 15 15 46 26 39
 26 26 40 17 45 46 26 17 17 26 17 46 15 15 14 46 14 15 14 41 46 26 12 15
 14 42 15 14 26 43 44 26 14 17 15 14 46 46 45 14 14 46 46 46 47 14 14 46
 15 46 14 15 14 15 15 15 14 15 15 46 48 26 12 12 14 14 14 14 15 46 26 26
 26 46 14 14 49 50 14 26 51 52 12 12 53 12 46 46 15 26 14 46 15 15 46 15
 12 54 17 55 46 12 56 12 12 57 14 14 15 14 15 15 46 46 46 15 15 15 15 15
 15 46 46 46 15 58 15 15 46 46 45 59 60 14 26 61 15 15 15 62 63 14 12]",64
HDBSCAN,0.0,0.0,"[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1
 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1]",1
